"p","U:0","U:1","U:2","k","nut","omega","y","yPlus","Vorticity:0","Vorticity:1","Vorticity:2","VectorGradient:0","VectorGradient:1","VectorGradient:2","VectorGradient:3","VectorGradient:4","VectorGradient:5","VectorGradient:6","VectorGradient:7","VectorGradient:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-234.57,0,0,0,3.646e-06,0,2.5599e+05,1e-15,0.0058611,-0,0,-0.76194,-3.6007,-7.7355,0,-8.4975,-18.255,0,-0,-0,0,1,0,0,0,0.025
-235.43,0,0,0,0.0029254,0,4.2082e+05,1e-15,0.10521,-0,0,-4272.4,30.214,4271.4,0,-1.0761,-62.398,0,-0,-0,0,1,0.005,0.005,0,0.025
-239.11,0,0,0,0.0057744,0,4.2085e+05,1e-15,0.14815,-0,0,2889.6,-243.45,-2884.9,0,4.7079,262.48,0,-0,-0,0,1,0.01,0.01,0,0.025
-247.69,0,0,0,0.098616,0,4.2161e+05,1e-15,0.6071,-0,0,25088,-217.25,-25088,0,-0.33209,341.54,0,-0,-0,0,1,0.015,0.015,0,0.025
-253.7,0,0,0,0.39889,0,4.2408e+05,1e-15,1.228,-0,0,44171,-179.27,-44172,0,-0.06534,326.75,0,-0,-0,0,1,0.02,0.02,0,0.025
-254.6,0,0,0,0.89104,0,4.281e+05,1e-15,1.8377,-0,0,60264,-154.84,-60265,0,-0.26647,314.32,0,-0,-0,0,1,0.025,0.025,0,0.025
-247.74,0,0,0,1.5106,0,4.331e+05,1e-15,2.3938,-0,0,72020,-118.65,-72021,0,-0.95156,265.05,0,-0,-0,0,1,0.03,0.03,0,0.025
-229.62,0,0,0,2.0746,0,4.376e+05,1e-15,2.8074,-0,0,80214,-46.106,-80215,0,-1.6266,134.04,0,-0,-0,0,1,0.035,0.035,0,0.025
-199.32,0,0,0,2.3979,0,4.4016e+05,1e-15,3.0194,-0,0,81302,15.334,-81304,0,-1.6747,11.865,0,-0,-0,0,1,0.04,0.04,0,0.025
-159.69,0,0,0,2.417,0,4.4032e+05,1e-15,3.0314,-0,0,73615,105.07,-73616,0,-1.3641,-179.32,0,-0,-0,0,1,0.045,0.045,0,0.025
-116.49,0,0,0,2.1947,0,4.3856e+05,1e-15,2.8878,-0,0,61652,151.38,-61653,0,-0.92323,-284.69,0,-0,-0,0,1,0.05,0.05,0,0.025
-74.853,0,0,0,1.832,0,4.3567e+05,1e-15,2.6374,-0,0,44728,180.13,-44728,0,-0.46668,-354.3,0,-0,-0,0,1,0.055,0.055,0,0.025
-38.48,0,0,0,1.4256,0,4.3241e+05,1e-15,2.3252,-0,0,34750,187.66,-34751,0,-0.28924,-374.69,0,-0,-0,0,1,0.06,0.06,0,0.025
-9.2609,0,0,0,1.0389,0,4.2929e+05,1e-15,1.9804,-0,0,12305,198.31,-12305,0,0.014253,-395,0,-0,-0,0,1,0.065,0.065,0,0.025
13.179,0,0,0,0.78238,0,4.2721e+05,1e-15,1.7243,-0,0,254.59,188.45,-254.03,0,0.55317,-376.92,0,-0,-0,0,1,0.07,0.07,0,0.025
27.756,0,0,0,0.8454,0,4.2773e+05,1e-15,1.7917,-0,0,-21775,144.02,21776,0,0.65219,-282.55,0,-0,-0,0,1,0.075,0.075,0,0.025
37.074,0,0,0,0.97249,0,4.2876e+05,1e-15,1.9217,-0,0,-31473,126.9,31473,0,0.52157,-240.58,0,-0,-0,0,1,0.08,0.08,0,0.025
42.511,0,0,0,1.1026,0,4.2981e+05,1e-15,2.0467,-0,0,-40379,110.64,40379,0,0.45966,-203.79,0,-0,-0,0,1,0.085,0.085,0,0.025
45.02,0,0,0,1.2286,0,4.3083e+05,1e-15,2.1608,-0,0,-55729,81.226,55729,0,0.32962,-140.57,0,-0,-0,0,1,0.09,0.09,0,0.025
45.508,0,0,0,1.3455,0,4.3177e+05,1e-15,2.2612,-0,0,-62183,68.553,62184,0,0.26928,-114.77,0,-0,-0,0,1,0.095,0.095,0,0.025
44.787,0,0,0,1.4516,0,4.3263e+05,1e-15,2.3488,-0,0,-67868,57.378,67868,0,0.21585,-92.881,0,-0,-0,0,1,0.1,0.1,0,0.025
43.293,0,0,0,1.5465,0,4.3339e+05,1e-15,2.4245,-0,0,-72836,47.684,72836,0,0.16972,-74.661,0,-0,-0,0,1,0.105,0.105,0,0.025
41.341,0,0,0,1.6305,0,4.3406e+05,1e-15,2.4896,-0,0,-77149,39.401,77149,0,0.1315,-59.752,0,-0,-0,0,1,0.11,0.11,0,0.025
