"p","U:0","U:1","U:2","k","nut","omega","y","yPlus","Vorticity:0","Vorticity:1","Vorticity:2","VectorGradient:0","VectorGradient:1","VectorGradient:2","VectorGradient:3","VectorGradient:4","VectorGradient:5","VectorGradient:6","VectorGradient:7","VectorGradient:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-61.98,44.2,0,0,5.39,0.0083308,647,0.41437,0,-0,0,1.2445e-11,-0,-0,0,1.2445e-11,3.5739e-10,0,-0,-0,0,1,0,-1.5,0.0127,0.025
-61.98,44.2,1.2713e-13,0,5.2444,0.0083128,630.88,0.39937,0,-0,0,1.6086e-11,-0,-0,0,1.6086e-11,1.1763e-09,0,-0,-0,0,1,0.015,-1.485,0.0127,0.025
-61.98,44.2,3.2853e-13,0,5.1469,0.0083003,620.08,0.38437,0,-0,0,3.5267e-11,-0,-0,0,3.5267e-11,2.6498e-09,0,-0,-0,0,1,0.03,-1.47,0.0127,0.025
-61.98,44.2,7.9214e-13,0,5.0527,0.0082881,609.63,0.36937,0,-0,0,7.0002e-11,-0,-0,0,7.0002e-11,5.671e-09,0,-0,-0,0,1,0.045,-1.455,0.0127,0.025
-61.98,44.2,1.8728e-12,0,4.9617,0.0082761,599.52,0.35437,0,-0,0,1.5819e-10,-0,-0,0,1.5819e-10,1.2219e-08,0,-0,-0,0,1,0.06,-1.44,0.0127,0.025
-61.98,44.2,4.3008e-12,0,4.8738,0.0082643,589.73,0.33937,0,-0,0,3.1506e-10,-0,-0,0,3.1506e-10,2.58e-08,0,-0,-0,0,1,0.075,-1.425,0.0127,0.025
-61.98,44.2,1.0111e-11,0,4.7887,0.0082526,580.26,0.32437,0,-0,0,7.2304e-10,-0,-0,0,7.2304e-10,5.5588e-08,0,-0,-0,0,1,0.09,-1.41,0.0127,0.025
-61.98,44.2,2.2593e-11,0,4.7064,0.0082409,571.1,0.30937,0,-0,0,1.415e-09,-0,-0,0,1.415e-09,1.1695e-07,0,-0,-0,0,1,0.105,-1.395,0.0127,0.025
-61.98,44.2,5.3264e-11,0,4.6267,0.0082292,562.23,0.29437,0,-0,0,3.3092e-09,-0,-0,0,3.3092e-09,2.525e-07,0,-0,-0,0,1,0.12,-1.38,0.0127,0.025
-61.98,44.2,1.2574e-10,0,4.5498,0.008217,553.7,0.27937,0,-0,0,1.5184e-08,-0,-0,0,1.5184e-08,1.1471e-06,0,-0,-0,0,1,0.135,-1.365,0.0127,0.025
