"p","U:0","U:1","U:2","k","nut","omega","yPlus","Vorticity:0","Vorticity:1","Vorticity:2","VectorGradient:0","VectorGradient:1","VectorGradient:2","VectorGradient:3","VectorGradient:4","VectorGradient:5","VectorGradient:6","VectorGradient:7","VectorGradient:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-232.64,0,0,0,3.4055e-06,0,2.5599e+05,0.0056645,-0,0,1.1814,-4.2346,-9.0974,0,-7.916,-17.006,0,-0,-0,0,1,0,0,0,0.025
-233.47,0,0,0,0.0027485,0,4.2082e+05,0.10199,-0,0,-4161.4,29.293,4160.3,0,-1.0884,-59.963,0,-0,-0,0,1,0.005,0.005,0,0.025
-236.99,0,0,0,0.005417,0,4.2084e+05,0.14348,-0,0,2660.1,-237.29,-2655.5,0,4.6288,252.21,0,-0,-0,0,1,0.01,0.01,0,0.025
-245.25,0,0,0,0.091269,0,4.2155e+05,0.58401,-0,0,24333,-212.25,-24333,0,-0.33474,330.75,0,-0,-0,0,1,0.015,0.015,0,0.025
-251.05,0,0,0,0.37103,0,4.2385e+05,1.1843,-0,0,42943,-174.47,-42943,0,-0.069912,315.49,0,-0,-0,0,1,0.02,0.02,0,0.025
-251.89,0,0,0,0.83077,0,4.2761e+05,1.7744,-0,0,58583,-150.37,-58583,0,-0.25059,303.29,0,-0,-0,0,1,0.025,0.025,0,0.025
-245.32,0,0,0,1.4124,0,4.3231e+05,2.3147,-0,0,70023,-115.95,-70024,0,-0.88652,257.49,0,-0,-0,0,1,0.03,0.03,0,0.025
-228.1,0,0,0,1.9485,0,4.366e+05,2.7207,-0,0,78123,-46.993,-78125,0,-1.5348,134.27,0,-0,-0,0,1,0.035,0.035,0,0.025
-199.33,0,0,0,2.264,0,4.3910e+05,2.9339,-0,0,79382,11.638,-79384,0,-1.5905,18.531,0,-0,-0,0,1,0.04,0.04,0,0.025
-161.61,0,0,0,2.2952,0,4.3935e+05,2.9541,-0,0,72395,97.684,-72397,0,-1.3038,-163.55,0,-0,-0,0,1,0.045,0.045,0,0.025
-120.26,0,0,0,2.0976,0,4.3779e+05,2.8233,-0,0,61186,142.64,-61187,0,-0.90043,-265.11,0,-0,-0,0,1,0.05,0.05,0,0.025
-80.08,0,0,0,1.7637,0,4.3513e+05,2.5879,-0,0,45159,171.24,-45159,0,-0.46535,-333.66,0,-0,-0,0,1,0.055,0.055,0,0.025
-44.596,0,0,0,1.3834,0,4.3208e+05,2.2907,-0,0,35656,179.03,-35656,0,-0.29233,-354.09,0,-0,-0,0,1,0.06,0.06,0,0.025
-15.725,0,0,0,1.02,0,4.2914e+05,1.963,-0,0,14238,189.39,-14238,0,-0.04523,-375.64,0,-0,-0,0,1,0.065,0.065,0,0.025
6.8565,0,0,0,0.74982,0,4.2695e+05,1.6875,-0,0,2614.4,183.57,-2613.9,0,0.4127,-363.85,0,-0,-0,0,1,0.07,0.07,0,0.025
21.975,0,0,0,0.77484,0,4.2715e+05,1.7152,-0,0,-19043,141.7,19044,0,0.64653,-278.21,0,-0,-0,0,1,0.075,0.075,0,0.025
31.925,0,0,0,0.89284,0,4.2811e+05,1.8412,-0,0,-28601,125.33,28602,0,0.49905,-237.27,0,-0,-0,0,1,0.08,0.08,0,0.025
38.019,0,0,0,1.0153,0,4.291e+05,1.9639,-0,0,-37417,109.79,37418,0,0.44119,-202.01,0,-0,-0,0,1,0.085,0.085,0,0.025
