"p","U:0","U:1","U:2","k","nut","omega","yPlus","Vorticity:0","Vorticity:1","Vorticity:2","VectorGradient:0","VectorGradient:1","VectorGradient:2","VectorGradient:3","VectorGradient:4","VectorGradient:5","VectorGradient:6","VectorGradient:7","VectorGradient:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-61.054,44.2,0,0,29.3,0.008331,3517,0,-0,0,1.8211e-12,-0,-0,0,1.8211e-12,3.0487e-10,0,-0,-0,0,1,0,-1.5,0.0127,0.025
-61.054,44.2,1.1499e-13,0,25.694,0.0082448,3115.9,0,-0,0,1.2538e-10,-0,-0,0,1.2538e-10,4.1558e-09,0,-0,-0,0,1,0.015,-1.485,0.0127,0.025
-61.054,44.2,1.7459e-12,0,23.608,0.0081902,2882,0,-0,0,2.9733e-10,-0,-0,0,2.9733e-10,1.6114e-08,0,-0,-0,0,1,0.03,-1.47,0.0127,0.025
-61.054,44.2,5.7209e-12,0,21.812,0.0081394,2679.4,0,-0,0,6.0835e-10,-0,-0,0,6.0835e-10,4.2117e-08,0,-0,-0,0,1,0.045,-1.455,0.0127,0.025
-61.054,44.2,1.4118e-11,0,20.253,0.0080922,2502.5,0,-0,0,1.1518e-09,-0,-0,0,1.1518e-09,9.2773e-08,0,-0,-0,0,1,0.06,-1.44,0.0127,0.025
-61.054,44.2,3.0431e-11,0,18.888,0.0080479,2346.7,0,-0,0,2.0389e-09,-0,-0,0,2.0389e-09,1.8398e-07,0,-0,-0,0,1,0.075,-1.425,0.0127,0.025
-61.054,44.2,6.07e-11,0,17.684,0.0080063,2208.6,0,-0,0,3.5543e-09,-0,-0,0,3.5543e-09,3.4352e-07,0,-0,-0,0,1,0.09,-1.41,0.0127,0.025
-61.054,44.2,1.1359e-10,0,16.615,0.0079671,2085.3,0,-0,0,5.8385e-09,-0,-0,0,5.8385e-09,6.1171e-07,0,-0,-0,0,1,0.105,-1.395,0.0127,0.025
-61.054,44.2,2.066e-10,0,15.66,0.00793,1974.7,0,-0,0,9.8211e-09,-0,-0,0,9.8211e-09,1.0592e-06,0,-0,-0,0,1,0.12,-1.38,0.0127,0.025
-61.054,44.2,3.7546e-10,0,14.811,0.0078948,1875.9,0,-0,0,2.7778e-08,-0,-0,0,2.7778e-08,3.0348e-06,0,-0,-0,0,1,0.135,-1.365,0.0127,0.025
-61.054,44.2,6.8959e-10,0,14.043,0.007861,1786.3,0,-0,0,4.5471e-08,-0,-0,0,4.5471e-08,5.1332e-06,0,-0,-0,0,1,0.15,-1.35,0.0127,0.025
-61.054,44.2,1.2894e-09,0,13.346,0.0078281,1704.8,0,-0,0,9.0737e-08,-0,-0,0,9.0737e-08,9.0364e-06,0,-0,-0,0,1,0.165,-1.335,0.0127,0.025
-61.054,44.2,2.4683e-09,0,12.711,0.0077956,1630.4,0,-0,0,1.545e-07,-0.0002861,-0,0,1.545e-07,1.6069e-05,0,-0,-0,0,1,0.18,-1.32,0.0127,0.025
